ID,WRKSTAT,MARITAL,SPWRKSTA,SIBS,CHILDS,AGE,SEX,INCOM16,POLVIEWS,CAPPUN,COURTS,GRASS,RELITEN,POSTLIFE,PRAY,HAPPY,HAPMAR,HEALTH1,LIFE,HELPFUL,FAIR,TRUST,CONBUS,CONCLERG,CONEDUC,CONPRESS,CONMEDIC,SOCREL,SOCFREND,SOCBAR,AGED,CHLDIDEL,PILLOK,SEXEDUC,DIVLAW,PREMARSX,XMARSEX,OWNGUN,NEWS,TVHOURS,NEWSFROM,SCIFROM,ASTROLGY,SCIBNFTS,COLDEG1,USWAR,USWARY
1568,1,4,NA,2,1,28,1,3,5,1,2,1,2,1,3,2,NA,NA,1,2,1,2,2,2,2,2,1,NA,NA,NA,2,NA,NA,NA,NA,NA,2,1,NA,NA,3,3,1,1,NA,NA,NA
1569,1,5,NA,1,0,47,1,3,NA,2,NA,1,1,NA,2,2,NA,1,NA,1,2,1,2,2,1,3,1,5,5,7,1,NA,3,1,NA,1,NA,NA,3,0,6,4,2,3,3,1,NA
1570,1,5,NA,1,0,25,2,2,2,2,2,1,4,2,6,2,NA,NA,1,1,2,1,3,3,3,3,3,NA,NA,NA,1,NA,NA,NA,NA,NA,3,2,NA,NA,3,3,1,3,1,NA,NA
1571,5,2,NA,4,2,71,1,3,3,1,2,NA,2,1,4,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,5,2,4,NA,2,2,1,2,4,2,2,1,2,NA,NA,NA,NA,NA,NA,2
1572,1,3,NA,10,3,46,2,2,4,1,2,2,4,1,2,1,NA,2,NA,1,1,2,2,3,2,2,1,1,5,7,1,2,1,1,2,4,NA,NA,3,4,NA,NA,NA,NA,NA,2,NA
1573,1,1,1,3,2,26,2,3,3,2,2,2,2,2,2,1,1,NA,1,2,2,2,2,2,2,3,2,NA,NA,NA,2,NA,NA,NA,NA,NA,1,2,NA,NA,5,5,1,1,NA,NA,NA
1574,5,1,7,1,2,71,1,3,4,1,2,2,1,1,1,1,1,1,NA,1,1,2,2,3,2,2,1,5,5,7,2,2,3,1,2,1,NA,NA,1,1,6,2,2,1,4,1,NA
1575,1,1,1,2,0,65,2,4,6,1,2,2,2,NA,4,1,1,1,NA,1,2,2,3,2,3,2,2,7,5,7,2,2,1,1,1,4,NA,NA,1,2,NA,NA,NA,NA,NA,1,NA
1576,1,4,NA,4,2,35,1,4,4,1,2,1,4,2,1,3,NA,NA,1,2,1,2,2,3,3,3,2,NA,NA,NA,1,NA,NA,NA,NA,NA,1,2,NA,NA,3,3,1,2,NA,NA,NA
1577,5,5,NA,3,0,62,1,NA,NA,1,2,2,4,1,6,2,NA,1,NA,2,2,2,3,3,3,3,3,7,7,7,1,NA,4,2,NA,1,NA,NA,5,13,NA,NA,NA,NA,NA,2,NA
1578,5,2,NA,2,2,88,2,4,6,2,2,1,1,1,1,1,NA,NA,1,1,2,1,1,2,2,2,1,NA,NA,NA,2,NA,NA,NA,NA,NA,1,2,NA,NA,5,5,2,1,NA,NA,NA
1579,1,1,2,6,1,37,1,2,6,1,2,NA,1,1,2,2,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,4,4,5,NA,3,3,1,2,1,1,1,4,2,NA,NA,NA,NA,NA,NA,2
1580,7,1,1,5,3,46,2,2,7,2,2,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,5,7,NA,8,4,1,2,1,1,1,3,2,NA,NA,NA,NA,NA,NA,2
1581,1,1,1,4,3,55,2,2,5,1,3,2,1,1,2,1,2,1,NA,1,2,1,2,2,2,2,1,1,3,5,3,8,3,1,3,NA,NA,NA,4,3,3,3,2,1,2,1,NA
1582,1,3,NA,1,1,48,2,4,5,1,2,1,4,NA,5,1,NA,NA,1,1,2,1,3,2,2,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,2,2,NA,NA,5,3,1,1,7,NA,NA
1583,7,3,NA,2,4,36,2,3,4,1,1,NA,2,1,3,2,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,4,2,3,NA,3,NA,1,3,4,1,2,4,1,NA,NA,NA,NA,NA,NA,2
1584,1,5,NA,4,0,25,1,3,4,1,1,1,4,2,5,1,NA,NA,1,1,1,2,2,2,2,3,1,NA,NA,NA,1,NA,NA,NA,NA,NA,2,2,NA,NA,3,5,1,1,NA,NA,NA
1585,1,1,7,1,0,37,1,4,2,1,1,2,4,1,5,2,2,3,NA,1,2,1,2,2,1,3,3,4,5,6,1,2,1,1,2,3,NA,NA,1,2,NA,NA,NA,NA,NA,2,NA
1586,1,1,1,3,4,59,2,2,4,2,NA,2,1,1,1,2,2,2,NA,2,2,1,2,1,2,3,2,6,2,5,2,4,2,1,2,1,NA,NA,2,1,1,3,2,1,NA,2,NA
1587,1,5,NA,3,0,61,2,2,4,2,1,1,2,1,1,2,NA,2,NA,1,2,1,3,3,2,3,3,5,3,6,3,2,3,1,3,3,NA,NA,1,2,5,3,1,2,3,1,NA
1588,7,5,NA,6,0,61,1,3,5,1,3,1,3,1,4,2,NA,NA,2,1,2,1,2,1,2,2,1,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,NA,5,5,2,1,1,NA,NA
1589,2,3,NA,2,0,25,2,4,3,1,NA,1,1,1,2,2,NA,3,NA,2,1,1,2,2,2,2,2,3,2,2,2,2,2,1,1,4,NA,NA,4,2,NA,NA,NA,NA,NA,1,NA
1590,2,5,NA,1,0,63,1,3,2,2,3,NA,2,NA,1,2,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,7,6,6,NA,3,3,1,NA,3,1,1,2,3,NA,NA,NA,NA,NA,NA,2
1591,1,3,NA,4,2,54,2,4,4,1,1,1,2,NA,5,3,NA,NA,2,2,1,2,2,3,1,3,2,NA,NA,NA,1,NA,NA,NA,NA,NA,3,2,NA,NA,5,3,1,1,NA,NA,NA
1592,1,1,7,3,4,39,1,1,4,2,NA,NA,1,1,1,2,1,3,NA,2,2,2,2,1,2,2,2,7,6,7,2,3,2,1,NA,1,NA,NA,3,1,3,5,2,1,NA,2,NA
1593,5,4,NA,3,6,69,2,3,6,1,NA,1,2,1,1,1,NA,NA,1,1,2,1,1,2,3,3,2,NA,NA,NA,1,NA,NA,NA,NA,NA,3,1,NA,NA,3,3,1,1,NA,NA,NA
1594,7,1,1,4,0,28,2,3,4,1,3,NA,2,1,3,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,2,5,7,NA,3,3,NA,NA,1,1,2,5,4,NA,NA,NA,NA,NA,NA,1
1595,7,1,1,1,3,29,2,2,6,1,2,2,1,1,1,2,1,2,NA,1,2,2,2,3,2,3,1,4,3,7,3,3,4,1,2,1,NA,NA,5,1,NA,NA,NA,NA,NA,1,NA
1596,5,1,5,1,4,85,2,4,6,1,NA,2,1,2,6,1,1,NA,2,2,1,2,1,1,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,1,2,NA,NA,5,5,2,NA,NA,NA,NA
1597,1,5,NA,7,1,31,2,3,6,2,1,1,4,1,3,3,NA,NA,2,2,1,2,3,3,2,2,2,NA,NA,NA,1,NA,NA,NA,NA,NA,1,2,NA,NA,5,5,1,1,NA,NA,NA
1598,2,4,NA,15,3,34,2,1,2,2,2,NA,1,1,2,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,7,NA,3,1,1,1,4,1,2,3,2,NA,NA,NA,NA,NA,NA,1
1599,7,5,NA,2,4,37,2,1,4,1,1,2,2,2,4,3,NA,4,NA,2,1,2,2,3,2,3,2,6,7,7,2,2,2,1,1,3,NA,NA,3,2,NA,NA,NA,NA,NA,2,NA
1600,7,1,4,8,5,46,2,2,7,2,2,NA,2,1,2,2,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,2,7,7,NA,5,2,1,3,1,1,2,5,10,NA,NA,NA,NA,NA,NA,2
1601,7,5,NA,4,0,30,2,2,4,NA,1,1,2,1,6,2,NA,NA,NA,1,2,NA,2,3,1,3,3,1,6,7,2,1,1,1,1,4,NA,NA,2,6,3,3,1,2,NA,1,NA
1602,5,3,NA,6,2,75,2,2,4,1,2,1,2,NA,6,3,NA,3,NA,2,3,2,3,2,3,3,3,3,2,6,2,4,1,1,3,4,NA,NA,5,8,NA,NA,NA,NA,NA,1,NA
1603,1,1,2,5,3,55,1,2,1,1,2,2,2,2,2,2,2,2,NA,2,1,2,1,3,1,1,1,5,2,6,2,2,4,2,1,4,NA,NA,4,2,1,5,1,2,NA,1,NA
1604,1,1,8,2,2,48,1,1,1,2,1,NA,4,2,6,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,6,2,3,NA,0,1,2,1,3,3,2,1,3,NA,NA,NA,NA,NA,NA,1
1605,5,3,NA,9,3,82,1,1,4,2,2,2,3,1,2,1,NA,NA,1,1,2,3,2,2,2,3,2,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,NA,1,5,1,1,NA,NA,NA
1606,5,4,NA,2,0,53,1,3,2,1,2,1,2,2,6,3,NA,5,NA,2,2,2,2,3,3,3,3,1,2,5,2,2,2,1,1,4,NA,NA,4,4,5,5,1,1,NA,1,NA
1607,7,1,2,5,2,32,2,2,2,2,1,NA,2,1,3,1,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,NA,4,2,2,1,2,1,2,5,4,NA,NA,NA,NA,NA,NA,2
1608,7,1,1,10,2,32,2,3,4,2,2,NA,4,NA,2,2,1,2,NA,2,1,2,1,1,2,2,1,1,3,6,3,2,3,1,2,3,NA,NA,4,2,NA,NA,NA,NA,NA,1,NA
1609,1,5,NA,2,4,31,2,2,4,1,2,NA,2,1,2,2,NA,2,NA,1,2,3,1,2,2,2,2,2,4,7,1,6,4,1,3,1,NA,NA,3,3,3,3,1,1,NA,1,NA
